,Model,Series,Display Size (Inch),Shape,Display Type,Display Resolution,Response Time (ms),Refresh Rate (Hz),Viewing Angle,VGA Port,Brightness (cd/m2),Contrast Ratio (TCR/DCR),Others,Color,Part No,Warranty,Made in/ Assemble,Country Of Origin,Display Port,Specialty,Dimensions,HDMI Port,Aspect Ratio,DVI Port,Speaker (Built-in),USB Port,FreeSync,Touch Screen,Remote,Thunderbolt,Regular Price,Special Price
60,ASUS BE249QLBH,Regular,24,Widescreen,Full HD IPS LED Monitor,1920x1080 (WxH) FHD,5ms (Gray to Gray),49-76Hz (Vertical),178 degree (H & V),1,250cd/m2,"1000:1 (Max), 10,00,00,000:1 (ASCR)","Panel Type: IPS, Display Viewing Area(HxV): 527.04 x 296.46 mm, Full HD 1080P: Yes, Display Surface: Non-glare, Pixel Pitch: 0.2745mm, Display Colors: 16.7M, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 7 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, QuickFit (modes): Yes ( Modes), Low Blue Light: Yes, HDCP support: Yes, PC Audio Input: 3.5mm Mini-Jack, Earphone jack: 3.5mm Mini-Jack, Voltage: 100-240V, 50 / 60 Hz, Power Consumption: <14.4W, Security: Kensington lock, Weight: 5.8Kg (with stand), 3.5Kg (without stand), USP: Extensive Connectivity, Bundled with the MiniPC kit, Key Feature: FHD, IPS, 5ms, HDMI, D-Sub, DisplayPort, DVI-D, Mini-PC Mount Kit, Ergonomic Stand, Height Adjustment, VESA Wall Mounting",Black,BE249QLBH,3 year,China,Taiwan,1,"FHD IPS panel with wide viewing angles Business Monitor, Extensive connectivity with DisplayPort, HDMI, DVI-D, D-sub, Audio in, Earphone jack plus two USB 3.0 ports for the most flexibility, Ergonomic design with tilt, swivel, pivot and height adjustments for a comfortable viewing experience, TUV Rheinland Certification for Flicker-free and Low Blue Light technology to ensure a comfortable viewing experience, Flicker free, Trace Free Technology, SPLENDID Video Intelligence Technology, 7 Modes SPLENDID Video Preset, 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection, QuickFit Modes, HDCP support","562 x 362 x 211mm (with Stand), 562 x 340 x 50mm (without Stand, for VESA Wall Mount)",1,16:9,1,2W x 2 Stereo RMS,2 x USB3.0,,,,,23330,22000
61,BenQ GW2780,Regular,27,Widescreen,IPS FHD LED,1920x1080 (WxH) FHD,"8ms (Gray to Gray) (Normal), 5ms (Gray to Gray)",60Hz,178 degree (H & V),1,250cd/m2,"1,000:1 (typical), 20,000,000:1 (DCR)","Color: Black, Panel Type: IPS, Backlight Technology: LED backlight, Display Colors: 16.7 million colors, Color Gamut: 72% NTSC, Display Area(mm): 597.60 x 336.20, PPI: 82, Color Bit: 8 bit, Headphone Jack: Yes, Audio Line In: Yes, Color Temperature: Reddish/Normal/Bluish/User mode, K Locker: Yes, HDCP: 1.4, AMA: Yes, Flicker-free Technology: Yes, Low Blue Light: Yes, Brightness Intelligence (B.I.): Yes, Power Voltage Rating: 100 - 240V, Power Consumption (on mode.): 32W, Net Weight (kg): 4.85Kg",Black,,3 year,China,Taiwan,1,"Eye Care Full HD IPS Monitor, Stunning Full HD Display, Wide Viewing Angle IPS Panel, Edge to Edge Slim Bezel Design, Streamlined Productivity & Simplified Lifestyle, Understated, Stylish and Sophisticated Design, IPS Wide Viewing Angle Technology, Industry-Leading Eye-Care Technology, Brightness Intelligence Technology, Picture Perfect Content Optimization, Eliminate Eye Strain in Any Ambient Light, Low Blue Light, Flicker-free",463 x 612 x 183mm,1,16:9,,2W x 2,,,,,,24090,22500
62,HP Z23n,Regular,23,Widescreen,Narrow Bezel IPS,1920x1080 (WxH) FHD,7ms (Gray to Gray),60Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Static), 5000000:1 (Dynamic)","Aspect Ratio: 16:9, Backlight Lamp Life: 30,000 hours minimum, Color Gamut: Up to 16.7 million colors with the use of FRC technology, Color Gamut (Typical): 96% sRGB",Black,,3 year,China,USA,1,"Reduce power consumption and help lower your costs with an energy-efficient design, Experience extended views with IPS technology and a panel that is nearly borderless on three sides, Deliver optimal color quality across your entire user base with a factory-calibrated 96% sRGB color gamut",,1,,,,,,,,,24750,22800
63,HP EliteDisplay E243i,Regular,24,Widescreen,Micro-Edge Bezel IPS Display,1920 x 1200 Pixels,5ms,60Hz,178 degree (H & V),1,300cd/m2,"1000:1 (Static), 5000000:1 (Dynamic)","Panel active area: 51.84 x 32.4 cm, Aspect ratio: 16:10, Pixel pitch: 0.2745 mm, VESA mount: 100mm, Weight: 6.36Kg, POWER Input voltage: 100 to 240 VAC",Black,1FH49AA,3 year,China,USA,,"Anti-glare, In plane switching, Language selection, LED Backlights, On-screen controls, Pivot rotation, Plug and Play, Anti-static, Low Haze",,1,,,,3 x USB3.0,,,,,26290,24000
64,LG 27MK600M-B,Regular,27,Widescreen,IPS FHD LED,1920x1080 (WxH) FHD,,,178 degree (H & V),1,250cd/m2,1000:1,"Pixel Pitch (mm): 0.3114 mm x 0.3114 mm, Color Depth: 16.7M Colors, Color Gamut: NTSC 72%, Panel Type: IPS, Surface Treatment: Anti glare 3H, Headphone Out: Yes, Smart Energy Saving: Yes, HDCP: Yes, Plug & Play: Yes, Automatic Standby: Yes, Black Stabilizer: Yes, DAS Mode: Yes, On Screen Control: Yes (2.0), Ratio: Wide/Original, Adaptive Sync: Radeon FreeSync, DFC: Yes, R/G/B Color Control: Yes, Auto Adjustment(D-sub Only): Yes, DDC/CI: Yes, Picture Mode: Custom, Reader, Color Weakness, Photo, Cinema, Game, Super+ Resolution: Yes, Flicker Safe: Yes, Black Level: Yes, Response Time Control: Yes, Color Calibrated: Yes, Crosshair: Yes, Gamma Control: Yes, Color Temperature: Yes, OSD Lock: Yes, POWER Input: 100-240V (50/60Hz), Weight: 4.8Kg (With Stand), 4.3Kg (Without Stand)",Black,,3 year,,,,"Class Full HD IPS LED Monitor with Radeon FreeSync, On Screen Control, Dual HDMI, Smart Energy Saving, Full HD IPS Display, Virtually Borderless Design, Smoother Gaming, Dynamic Action Sync, Black Stabilizer, Crosshair, Reader Mode, Wall Mountable, HDCP, Plug & Play, Automatic Standby, DAS Mode, R/G/B Color Control, Super+ Resolution, Flicker Safe, Black Level, Response Time Control, Color Calibrated, Gamma Control, Color Temperature, OSD Lock","612.14 x 208.28 x 454.66mm (With Stand), 612.14 x 73.66 x 363.22mm (Without Stand)",2,16:9,,,,Yes,,,,28560,24000
65,Philips 276E7QDSW/00,Regular,27,Widescreen,Full HD IPS LED Monitor,1920x1080 (WxH) FHD,5ms (Gray to Gray),"30 -83 kHz (H), 56 -76 Hz (V)",178 degree (H & V),1,250cd/m2,"1000:1 (Typical), 20,000,000:1 (SmartContrast)","LCD panel type: PLS LCD, Backlight type: W-LED system, Panel Size: 27 inch/68.6 cm, Effective viewing area: 597.9 (H) x 336.3 (V), Pixel pitch: 0.311 x 0.311 mm, Flicker-free: Yes, Picture enhancement: SmartImage Lite, Colour gamut (typical): NTSC 104.4% (CIE1976), Display colours: 16.7 M, MHL: 1080P 30 Hz, sRGB: Yes, Tilt: -5/20 degree, Power supply: External 100-240 VAC, 50-60 Hz, Power Consumption On mode: 17.03 W (typ.) (EnergyStar 7.0 test method), Sync Input: Separate Sync, Sync on Green, Audio (In/Out): HDMI audio out, OS Supported: Windows 7, 8, 8.1, Mac OS X, MTBF: 50,000 (excluding backlight) hour(s)",White,,3 year,China,Netherlands,,"Full HD Ultra Wide Color PLS LCD Monitor, Vivid, true-to-life colours, in an elegant design, Ultra Wide-Color wider range of colours for a vivid picture, PLS LED wide-view technology for image and colour accuracy, 16:9 Full HD display for crisp, detailed images, Less eye fatigue with Flicker-Free technology, SmartContrast for deep black level details, EasySelect menu toggle key for quick on-screen menu access, MHL technology for enjoying mobile content on a big screen, SmartImage Lite for easy optimised image settings",,1,,1,,,,,,,26580,24700
66,Benq ZOWIE XL2411P,Regular,24,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),144Hz,,,350cd/m2,"1000:1 (Typical), 12M:1 (DCR)","Pixel pitch (mm): 0.276, Panel type: TN, Power supply (90~264 AC): Built-in, Power consumption (On mode): 45W, headphone jack x 1, weight: 3.6Kg",Black,XL2411P,3 year,China,Taiwan,1,"1ms monitor with 144Hz refresh rate delivers a very smooth gaming experience in FPS and MOBA games, Black eQualizer for visual clarity in dark scenes without overexposing bright area that help gamer to acquire targets easily and offer viewing comfort in gameplay, Color Vibrance gives the flexibility to easily tune preferred color tone and makes color grading more defined, Fluid Gameplay with Smooth and Precise Control, Black eQualizer, Color Vibrance, Low Blue Light, Flicker-free, K Locker","570 x 559 - 429 x 219mm (with Stand), 570 x 347 x 59.97mm (without Stand)",1,16:9,1,,,,,,,26580,24800
67,Dell S2419HGF,Gaming,24,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),144Hz,160 & 170 degree (H & V),,350cd/m2,"1000:1 (Typical), 8000000:1 (dynamic)","1 x Headphones, 1 x Audio line-out, Device Type: LED-backlit LCD monitor, Pixel Pitch: 0.27675 mm, Colour Support: 16.7 million colours, Display Position Adjustments: Height, pivot (rotation), swivel, tilt, Adaptive-Sync Technology: AMD FreeSync, Panel Type: TN, Screen Coating: Anti-glare, 3H Hard Coating, Pixel Per Inch: 91, Backlight Technology: E-LED, Weight: 4.96Kg (With stand), 3.28Kg (Without stand)",,,3 year,China,USA,1,"72% (CIE 1931) colour gamut, game mode, ComfyView, 84% (CIE 1976) colour gamut, Flicker Free technology, BFR/PVC-free, Energy Gauge, Mercury free, arsenic-free glass, Dark Stabilizer, Low Blue Light technology, Smooth gameplay, Experience sharp, tear-free graphics with a swift refresh rate at 144Hz and AMD FreeSync for super smooth visuals, Get blazing fast and responsive gameplay with minimum input lag at an extremely rapid 1ms response time, Effortless Connectivity With the wide range of ports, hook up this Gaming Monitor to your PC, and add another secondary device","565 x 368.6 x 177mm (With stand), 565 x 336.8 x 50mm (Without stand)",2,16:9,,,"2 x USB3.0 downstream, 1 x USB3.0 upstream",,,,,27670,25500
68,Samsung LC27F390FHW,Regular,27,Curved,FHD LED,1920x1080 (WxH) FHD,4ms,60Hz,178 degree (H & V),1,250cd/m2,3000:1,"WALL MOUNTABLE: 75.0 x 75.0 mm, Viewing Angle (H/V): 178degree(H)/178degree(V)",Black,,3 year,,,,,,1,,,,,,,,,27830,25500
69,HP 27f,Regular,27,Widescreen,FHD IPS Antiglare,1920x1080 (WxH) FHD,5ms (Gray to Gray),60Hz,178 degree (H & V),1,300cd/m2,1000:1 (Static) 10000000:1 (Dynamic),"Aspect ratio: 16:9, Pixel pitch: 0.311 mm, Display features: Anti-glare, Anti-static, In plane switching, Language selection, LED backlights, On-screen controls, Plug and Play, User programmable, Display scan frequency (horizontal): Up to 86 kHz, Display scan frequency (vertical): Up to 75 Hz, Physical security: Security lock-ready, Dimensions: 611.8 x 40 x 365.3mm, Weight: 3.68Kg",Black,2XN62AA,3 year,China,USA,,"Appealing, ultra-thin design, Stunning from edge-to-edge, Full HD display / 1080p display, Dual HDMI, Anti-glare panel, Low Blue Light, Share the panoramic view, Compact, sleek design, Modern design, Seamless visuals, Extreme detail",,1,,,,,,,,,27990,26000
70,HP Z24nf G2,Regular,24,Widescreen,FHD Antiglare LED,1920x1080 (WxH) FHD,5ms (Gray to Gray),75Hz,178 degree (H & V),1,250cd/m2,1000:1 (Static) 10000000:1 (Dynamic),"Aspect ratio: 16:9, Pixel pitch: 0.274 mm, Input voltage: 100 to 240 VAC, Power consumption	: 35 W (maximum), Weight: 5.6Kg",Black,1JS07A4,3 year,China,USA,,"Anti-glare, In plane switching, Language selection, LED Backlights, On-screen controls, Pivot rotation, Plug and Play, User programmable, Low Haze",,1,,,,3 x USB3.0,,,,,28210,26000
71,HP EliteDisplay E230t,Regular,23,Widescreen,FHD Touch LED,1920x1080 (WxH) FHD,,60Hz,178 degree (H & V),1,250cd/m2,"1000:1 (static), 500000:1 (dynamic)","PIXEL PITCH: 0.2652 mm, Input voltage: 100 to 240 VAC, POWER CONSUMPTION: 57 W (maximum), 29 W (typical), 0.5 W (standby)",Black,W2Z50AA,3 year,China,USA,1,"Anti-glare, In plane switching, Language selection, LED Backlights, On-screen controls, Pivot rotation, Plug and Play, User programmable, Touch enabled, User controls","520.7 x 53.34 x 311.91mm (With stand), 520.7 x 187.96 x 487.68mm (Without stand)",1,16:9,,,"3 x USB3.0 (1 x upstream, 2 x downstream)",,Yes,,,29190,27000
72,Dell U2419H,Regular,23.8,Widescreen,FHD LED,1920x1080 (WxH) FHD,"8ms (Normal), 5ms (Fast)",60Hz,178 degree (H & V),,250cd/m2,1000:1 (Typical),"Device Type: UltraSharp LED-backlit LCD monitor, Panel Type: In-Plane switching Technology, Pixel Pitch: 0.2745 mm x 0.2745 mm, Color Support: 16.7 million colors, Backlight Technology: LED backlight, audio: 1 x Analog 2.0 audio line out (3.5mm jack), Power Voltage: AC 120/230 V (50/60 Hz), Power Consumption: 17 Watt (Operational), 0.3 Watt (Stand by)",Black,,3 year,,,2,"Anti-glare treatment of the front polarizer (3H) hard coating, Daisy chain compatible, Mercury free, 99.9% sRGB color gamut, Dell Easy Arrange, arsenic free, 99% Rec 709 color gamut, 85% DCI-P3, Impressive screen performance, Colour consistency comes standard, Always the best view, See consistent, vibrant colours across a wide viewing angle enabled by In-Plane Switching (IPS) technology, Experience superb screen clarity with Full HD (1920x1080) resolution on a 23.8",,1,16:9,,,"1 x USB3.0 (Upstream), 4 x USB3.0 (downstream 2 x USB3.0 BC1.2 charging capability at 2A (max))",,,Yes,,28210,27000
73,Samsung LS25HG50FQUXEN,Gaming,24.5,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),144Hz,"170 degree (H), 160 degree (V)",,400cd/m2,1000:1,"Panel Type: TN, Colour Support: 16.7M, Colour Gamut (NTSC 1976): 72%",Black,,3 year,,,1,"Samsung MagicAngle, Eco Saving Plus, Eye Saver Mode, Flicker Free, FreeSync, Game Color Mode, Screen Size Optimizer, Black Equalizer, Low Input Lag Mode, Refresh Rate Optimizor, Custom Key, Super Arena Gaming UX",,2,,,,,,,,,29300,27500
74,ViewSonic VX2776-smhd,Regular,27,Widescreen,FHD LED,1920x1080 (WxH) FHD,4ms (Gray to Gray),50-76Hz (V),178 degree (H & V),1,250cd/m2,"1,000:1 (typical), 80,000,000:1 (DCR)","Panel Technology: AH-IPS, Backlight Life: 30,000 Hrs (Min.), Color: 16.7 M, Panel Surface: Anti-Glare type, Hard-coating (3H), Audio in: 3.5mm jack x1, Audio Out: 3.5mm jack x1, Power: External Power Adapter, Sync: Separate Sync, Voltage: AC 100-240V (Universal), 50/60 Hz, Consumption: 24 W, Optimize: 20 W, Conserve: 17 W, WEIGHT: 3.71Kg",Black,,3 year,China,USA,1,"Entertainment Monitor, SuperClear IPS technology, Frameless bezel and metallic triangle stand, Full HD 1080p resolution, Flicker-Free and Blue Light Filter",621 x 462.6 x 209mm (w/ stand),1,16:9,,3Watt x 2,,,,,,29510,27500
75,Dell P2418HZm,Regular,24,Widescreen,IPS FHD LED,1920x1080 (WxH) FHD,6ms (Gray to Gray),56-76Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Typical), 8000000:1 (dynamic)","1 x Headphone/microphone combo jack (mini-jack), Device Type: LED-backlit LCD monitor, Pixel Pitch: 0.2745 mm, Colour Support: 16.7 million colours, Display Position Adjustments: Height, pivot (rotation), swivel, tilt, Screen Coating: Anti-glare, 3H Hard Coating, Power Consumption (On mode): 17.1 W, Panel Type: IPS, Backlight Technology: WLED",Black,P2418HZm,3 year,China,USA,1,"2 microphones, USB 3.0 hub, IR camera, 2.1 megapixel camera, Collaborate in stunning clarity, Clearly communicate, A more seamless workflow, LED indicator, volume control, portrait / landscape mode, VESA interface support, microphone with noise-cancellation, anti-theft stand lock slot, dual IR LEDs, A noise-cancelling mic and two 5W integrated speakers deliver crystal clear audio, Full HD IPS Monitor for Video Conferencing",549.8 x 180 x 375.6mm (with stand),1,,,5W x 1 Stereo,"1 x USB3.0 upstream (Type B), 1 x USB3.0 downstream (Type A), 2 x USB2.0 downstream (Type A), 1 x USB3.0 downstream with Battery Charging 1.2 (Type A)",,,,,29620,27500
76,ASUS ZenScreen MB16AC,Regular,15.6,Widescreen,FHD LED,1920x1080 (WxH) FHD,,,,,,800:1,"Panel Type: IPS, Display Viewing Area(HxV): 344.16 x 193.59 mm, Display Surface: Glare, Flicker free, SPLENDID Video Preset Modes: 8 Modes, QuickFit (modes): Yes, GamePlus(modes): Yes, Low Blue Light: Yes, Auto-rotate: Yes, Convenient Hotkey: Blue Light Filter, Slim Design: Yes, Super Narrow Bezel Design: Yes, Weight: 0.78Kg, USP: Slim and stylish ultraportable design, Hybrid Signal Solution, Automatic screen orientation, Key Feature: IPS, FHD, Flicker free, 780g and only 8mm thin, USB Type-C",Black,MB16AC,3 year,China,Taiwan,,"Flicker free, 8 SPLENDID Video Preset Modes (sRGB Mode/ Scenery Mode/ Theater Mode/ Standard Mode/ Night View Mode/ Game Mode/ Reading Mode/ Darkroom Mode), Alignment Grid/Photo QuickFit Modes, Crosshair/Timer GamePlus modes, Low Blue Light, Display Widget, Portable USB Monitor, Hybrid Signal Solution, Foldable smart case can be turned into a stand to prop the monitor up in either portrait or landscape mode, Can automatically sense its orientation and switch the monitor between landscape and portrait modes, Portable Office MONITOR",359.7 x 226.4 x 8.0mm,,16:9,,,1 x USB Type-C,,,,,30380,28200
77,Dell U2417H UltraSharp,Regular,24,Widescreen,FHD 3H Coating Anti-glare IPS Panel LED Backlight LCD,1920x1080 (WxH) FHD,6ms,56-76Hz,178 degree (H & V),,250cd/m2,1000:1,"1 x Audio line-Out, 1 x Mini DisplayPort, Power Consumption (On mode): 16.93 W, Device Type: LED-backlit LCD monitor, Panel Type: IPS, Aspect Ratio: 16:09, Pixel Pitch: 0.2745 mm, Color Support: 16.7 million colors, Screen Coating: Anti-glare, 3H Hard Coating",Black,,3 year,,,2,"Game mode, Cinema Mode, 99% sRGB color gamut, integrated cable management, Multi-Stream transport (MST), BFR/PVC-free, Energy Gauge, Mercury free, Transition Minimized Differential Signaling (TMDS) technology, arsenic-free glass, Infinity Edge display",,1,,,,"1 x USB upstream, 4 x USB 3.0 downstream",,,,,30380,28500
78,Asus VA325H,Regular,31.5,Widescreen,FHD LED,1920x1080 (WxH) FHD,5ms (Gray to Gray),"24-83KHz (H), 50-75Hz (V)",178 degree (H & V),1,250cd/m2,"1200:1 (Typical), 100000000:1 (ASCR)","Color Saturation: 72%(NTSC), Display Viewing Area(HxV): 698.4 x 392.85mm, Display Surface: Non-glare, Display Colors: 16.7M (real 8 bit), Flicker free: Yes, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 8 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, GamePlus(modes): Yes (Crosshair/Timer), VividPixel: Yes, Voltage: 100???240V, 50/60Hz, Convenient Hotkey: Blue Light Filter, Brightness Adjustment, Input Selection, GamePlus, Weight: 6.85Kg, USP: 32 inch monitor on budget range, Large Viewing Experience with Eye Care Features, Stereo 2W speakers, Key Feature: 31.5 inch Full HD, 5ms, HDMI and VGA, Stereo 2W speakers",Black,VA325H,3 year,China,Taiwan,,"Flexible connectivity with HDMI and VGA ports, Stereo 2W speakers provide spacious sound while eliminating the need for external speakers, ASUS Eye Care technology with flicker-free and blue light filter to minimize eye fatigue, Exclusive ASUS GamePlus crosshair and timer for a better gaming experience, 31.5 Inch Full HD (1920x1080) monitor with a 178degree wide viewing angle is complemented by a super slim profile, Superior Image Quality","729.488 x 494.792 x 175.26mm (with Stand), 729.488 x 432.562 x 58.166mm (without Stand)",1,16:9,,2W x 2 Stereo RMS,,,,,,30380,29000
79,Dell U2415,Regular,24,Widescreen,WUXGA IPS Display,1920x1200 (WxH) WUXGA,"6ms (Gray to Gray), 19ms (black to white)",56-76Hz,178 degree (H & V),,300cd/m2,"1000:1 (Typical), 2000000:1 (dynamic)","Device Type: LED-backlit LCD monitor, Pixel Pitch: 0.27 mm, Colour Support: 16.8 million colours, Display Position Adjustments: Height, pivot (rotation), swivel, tilt, Panel Type: IPS, Screen Coating: Anti-glare, 3H Hard Coating, Backlight Technology: LED backlight, Weight: 6.35Kg (With stand), 4.25Kg (Without stand)",Black,,3 year,,,"1 (DP), 1 (DP Output MST), 1 (Mini DP)","LED edgelight system, stand lock, 99% sRGB colour gamut, Multi-Stream transport (MST), Flicker Free technology, BFR/PVC-free, Energy Gauge, Energy Saver, Mercury free, 91% (CIE 1976) colour gamut, 76% (CIE 1931) colour gamut, High Bit Rate 2 (HBR2), Transition Minimised Differential Signaling (TMDS) technology, backlight dimming control, arsenic-free glass, Factory Calibration Report, World-class screen performance, excellent usability and great reliability, UltraSharp 24 inch Monitor, Help boost productivity with a dual or multi-monitor setup and take advantage of the ultra-thin (6.9 mm) bezel that allows virtually borderless viewing between monitors","532.2 x 205 x 402.9mm (with stand), 532.2 x 45.7 x 350.6mm (Without stand)",2,,,,"5 x USB3.0 downstream, 1 x USB3.0 upstream",,,,,32010,29800
80,Asus PB248Q,Professional,24,Widescreen,WQHD IPS LED,1920x1200 (WxH) WUXGA,6ms (Gray to Gray),"30 -83 kHz (H), 56 -76 Hz (V)",178 degree (H & V),1,300cd/m2,80000000:1 (ASCR),"Panel Type: IPS, Display Viewing Area(HxV): 518.4 x 324 mm, Display Colors: 16.7M, Flicker free: Yes, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 6 Modes, Color Temperature Selection: 4 Modes, Gamma adjustment: Yes, Color Adjustment: 6-axis adjustment (R,G,B,C,M,Y), QuickFit (modes): Yes, PC Audio Input: 3.5mm Mini-Jack, Earphone jack: 3.5mm Mini-Jack, Voltage: 100???240V, 50/60 Hz, Power Consumption(Typical): < 15.78W, Security: Kensington lock, Weight: 6.6Kg, USP: 100% sRGB, 80,000,000:1 ASUS Smart Contrast Ratio, Stereo Speakers, Ergonomic design, Key Feature: IPS, 300 cd/m2, 6ms, 16.7M, HDMI, D-Sub, DisplayPort, DVI-D, USB Port, Height Adjustment, VESA Wall Mounting",Black,,3 year,China,Taiwan,1,"Flicker free, Trace Free Technology, SPLENDID Video Intelligence Technology, 6 Modes SPLENDID Video Preset, 4 Modes Color Temperature Selection, Gamma adjustment, 6-axis Color Adjustment, QuickFit (modes), Professional Monitor, IPS, 100% sRGB, 80,000,000:1 ASUS Smart Contrast Ratio delivers the darkest blacks and brightest whites - delivering lifelike images, Ergonomic design for tilt, pivot, swivel and height adjustments ensure a comfortable viewing experience, Ultra-Smooth Visuals, Customized Color Adjustment, Splendid Video Intelligence Technology, Extensive Connectivity and Built-in Stereo Speaker for Multimedia Enjoyment, Protect your eyes with ASUS Eye Care technology","557.2 x 416.3 x 235mm (with Stand), 557.2 x 362.8 x 62mm (without Stand)",1,16:10,1,1.5W x 2 Stereo RMS,"5 x USB (1 x Upstream, 4 x Type-A port)",,,,,31250,29800
81,MSI Optix MAG241CR,Gaming,23.6,Curved,FHD LED,1920x1080 (WxH) FHD,1ms (MPRT),144Hz,178 degree (H & V),,300cd/m2,"3000:1 (Typical), 100000000:1 (DCR)","PANEL TYPE: VA, CURVATURE: 1500R, ACTIVE DISPLAY AREA (MM): 521.3952(H) x 293.2848(V), PIXEL PITCH (H X V): 0.27156(H) x 0.27156 (V), SURFACE TREATMENT: Anti-glare, DISPLAY COLORS: 16.7M, DCI-P3 / SRGB: 90% / Up ot 115%, AUDIO PORTS: 1 x Earphone out, KENSINGTON LOCK: Yes, VESA MOUNTING: 100 x 100 mm, CONTROL: 5-way OSD navigation joystick, POWER TYPE: Internal Adaptor, POWER INPUT: 100-240V, 50-60Hz, WEIGHT: 5.1Kg",Black,,3 year,China,Taiwan,1,"Full HD AMD FreeSync, 144Hz Refresh Rate, 1ms response time, Gaming OSD App LED Curved Gaming Monitor, Headset Hanger, Curved Gaming display (1500R) - The best gameplay immersion, Mystic Light - The ultimate gaming finish, FHD High Resolution - Game titles will even look better, displaying more details due to the FHD resolution, Real smooth gaming, eliminate screen tearing and choppy frame rates, Gaming OSD App, True colors - DCI-P3 90% & sRGB 115%., AMD FreeSync - prevent screen tearing, Anti-Flicker and Less Blue Light - game even longer and prevent eye strain and fatique, Frameless design - Ultimate gameplay experience, built-in headset hanger",536.4 x 531 x 231mm,2,Yes (AMD),,,"2 x USB2.0, 1 x USB2.0 Type B (PC to Monitor)",Yes (AMD),,,,32550,30000
82,ASUS ProArt PA248Q Professional,Regular,24,Widescreen,WUXGA IPS Display,1920x1200 (WxH) WUXGA,6ms (Gray to Gray),"30-83KHz (H), 50-76Hz (V)",178 degree (H & V),1,300cd/m2,80000000:1,"ProArt Professional True Color (100%sRGB), Wall Mountable IPS Panel Monitor, 3.5mm Mini-Earphone Jack, Pixel Pitch: 0.270mm, Display Colors: 16.7M, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 6 Modes, Color Temperature Selection: 4 Modes, Gamma adjustment: Yes, Color Adjustment: 6-axis adjustment(R,G,B,C,M,Y), QuickFit (modes): Yes, Picture-in-Picture: Yes, HDCP support: Yes, VESA Wall Mounting: 100x100mm, Weight: 6.4Kg",Black,,3 year,China,Taiwan,1,"80,000,000:1 ASUS Smart Contrast Ratio, Full HD with HDMI, Pre-calibrated right out-of box, Optimal HD A+ IPS Panel, ASUS Smart Contrast Ratio, Customized Color Adjustment, Ultra-Smooth Visuals, Extensive Connectivity, Expand your visual horizon with multi-display setup, Splendid Video Intelligence Technology, Intuitive 5 Way Navigation Key, Customizable OSD Shortcuts, Picture-in-Picture and Picture-by-Picture, QuickFit Virtual Scale Function, Protect your eyes with ASUS Eye Care technology, Flicker-free Technology",,1,,1,,"1 x USB upstream, 4 x USB Type-A",,,,,33150,30000
83,ASUS VZ27VQ,Regular,27,Curved,FHD IPS,1920x1080 (WxH) FHD,5ms (Gray to Gray),,178 degree (H & V),1,250cd/m2,3000:1,"Panel Size: Wide Screen 16:9, Color Saturation: 125%(sRGB), Panel Backlight / Type : VA, Display Surface: Non-glare, Pixel Pitch : 0.311mm, ASUS Smart Contrast Ratio (ASCR) : 100000000:1, Display Colors : 16.7M, Curved Panel : 1800R, SPLENDID Video Preset Modes : 8 Modes, Color Temperature Selection : 4 Modes, GamePlus(modes) : Yes (Crosshair/Timer), Low Blue Light : Yes, HDCP support : Yes, VividPixel : Yes, Earphone jack : 3.5mm Mini-Jack, USP: Budget curved monitor, suitable for multi-display use, 8.6mm thin, Adaptive-Sync, Key Feature: Eye Care Curved Monitor - 27 inch FHD, VA, 1800R, HDMI, D-Sub, DisplayPort, Ultra-slim, Frameless",Black,VZ27VQ,3 year,China,Taiwan,1,"IPS Panel, Eye Care, Ultra-slim, Frameless, Flicker Free, Blue Light Filter Curved Monitor, sRGB Mode/Scenery Mode/Theater Mode/Standard Mode/Night View Mode/Game Mode/Reading Mode/Darkroom Mode, Home and Office Monitor",612.9 x 441.7 x 210.1mm (with Stand),1,16:9,,2W x 2 Stereo RMS,,,,,,32450,30000
84,Asus VX24AH,Regular,23.8,Widescreen,2K IPS Borderless LED,2560x1440 (WxH) WQHD,5ms (Gray to Gray),,178 degree (H & V),1,300cd/m2,1000:1,"HDCP support : Yes, VividPixel : Yes, USP: Best 2K Monitor on 24 inch with 100% sRGB, Stereo Speakers : 2W x 2, Key Feature: Eye Care, IPS, 5ms, 16.7M, Frameless, Flicker Free, Blue Light Filter, HDMI/MHLx2, D-Sub",Black,VX24AH,3 year,China,Taiwan,,Home and Office Monitor,"540.5 x 394.4 x 210.1mm (with Stand), 540.5 x 326.3 x 40.2mm (without Stand)",1,16:9,,2W x 2 Stereo RMS,,,,,,32010,31000
